CP;Superficie;Densidad;Poblacion;Hombres;Mujeres;< 16;16\24;25\34;35\64;> 64;declaraciones;renta bruta media
28001;1,3979;25977;36312;15542;20770;4220;4049;5589;13318;9136;15541;95492
28002;2,6514;23972;63561;28504;35057;8732;8071;9850;24952;11956;38498;56565
28003;2,0074;24423;49026;21026;28000;5422;6109;7706;18006;11783;32620;54610
28004;1,2410;26671;33097;14701;18396;3335;3359;5979;12500;7924;22248;46241
28005;3,1823;22936;72990;33422;39568;10231;8547;11589;28239;14384;48759;38190
28006;1,7290;18218;31500;13457;18043;3599;3705;4843;11576;7777;23529;91283
28007;2,6415;29838;78817;36437;42380;11353;12072;11344;31156;12892;49533;44363
28008;2,6335;14168;37311;16419;20892;3919;4178;6061;13718;9435;21782;56732
28009;2,5245;17909;45211;19729;25482;5534;5284;6598;16561;11234;25938;56904
28010;1,4866;29632;44050;18650;25400;4982;4765;6759;16230;11314;25347;72484
28011;17,3562;4073;70695;33021;37674;8453;8542;12054;25313;16333;33719;28649
28012;1,1924;33526;39977;17951;22026;4176;4144;6913;14605;10139;24569;31351
28013;1,0687;10215;10917;4812;6105;1079;1100;1820;4287;2631;7140;46956
28014;1,2765;15967;20381;9263;11118;2141;2399;3554;7536;4751;9851;61845
28015;1,5609;40205;62754;27081;35673;6588;6979;9996;22717;16474;37625;42662
28016;2,5652;14713;37741;17098;20643;4930;4973;6127;14133;7578;22317;68463
28017;5,1952;21019;109196;51231;57965;13592;14367;18770;41789;20678;51600;26357
28018;11,1967;9721;108838;52050;56788;17468;14428;20416;36739;19787;31458;23637
28019;3,6076;25190;90877;42476;48401;11812;12266;15286;33545;17968;43035;26222
28020;1,7953;28548;51251;22932;28319;5861;6196;8432;19108;11654;33955;44741
28021;16,3906;4738;77655;37842;39813;12472;11257;14465;27132;12329;39336;23307
28022;12,3889;3864;47868;23382;24486;7789;7400;7616;18766;6297;41166;33903
28023;15,8973;1028;16349;7643;8706;3003;2678;2662;6292;1714;18962;95427
28024;11,9050;5357;63770;30638;33132;7817;10744;11607;25084;8518;26324;27525
28025;4,4142;19853;87635;41260;46375;11350;12050;15199;31889;17147;39454;24346
28026;3,5892;19334;69395;32633;36762;9107;8979;11900;24867;14542;30507;23674
28027;4,5514;16017;72901;33288;39613;9502;9004;11855;27463;15077;42868;36599
28028;2,4644;24540;60478;26855;33623;7049;7411;10098;22461;13459;39750;42640
28029;4,2354;23033;97555;45909;51646;13919;15268;15089;38757;14522;47169;32550
28030;6,3113;16709;105456;50732;54724;15032;15525;19394;40249;15256;50329;30779
28031;19,3560;3093;59869;29440;30429;12102;9509;10112;22272;5874;36891;26653
28032;10,0797;3736;37660;18664;18996;5806;6086;7464;13777;4527;39285;29750
28033;6,3945;14170;90608;43631;46977;14278;14990;15333;35168;10839;45617;41358
28034;10,4796;7004;73403;35357;38046;11301;13023;11219;28245;9615;38646;49158
28035;12,7490;5113;65184;31350;33834;11771;11141;9222;26359;6691;42541;49002
28036;2,5836;9250;23898;11065;12833;4004;3031;4127;9176;3560;17667;86202
28037;3,9744;16085;63926;30172;33754;8090;7492;11414;21675;15255;25950;26844
28038;4,8634;23836;115923;55873;60050;19656;16674;19539;41322;18732;37196;22812
28039;2,9521;25621;75636;34469;41167;9502;9106;12856;27948;16224;39640;30000
28040;8,2452;1254;10341;4689;5652;1307;1540;1557;4046;1891;5524;51591
28041;7,7071;11695;90132;43789;46343;14001;14205;16050;32950;12926;45901;24771
28042;43,2914;848;36732;18133;18599;6288;7197;5368;14598;3281;30316;47318
28043;7,6970;10015;77086;37182;39904;12597;12251;13094;30666;8478;47132;52890
28044;12,6030;5937;74827;36430;38397;9920;13051;12873;29198;9785;34716;25733
28045;4,1533;14717;61125;27194;33931;7549;7060;9893;22805;13818;52723;37311
28046;0,9769;10307;10069;4657;5412;1085;1254;1738;3360;2632;6525;72809
28047;4,1395;20731;85815;41395;44420;11700;14840;14065;33425;11785;37156;26728
28048;143,9959;32;4672;2236;2436;536;639;793;1638;1066;1836;30784
28049;21,6844;87;1896;809;1087;407;195;164;351;779;12156;56746
28050;18,6752;453;8453;4094;4359;1831;1512;987;3261;862;41130;51475
28051;40,6124;18;727;371;356;286;148;131;144;18;20738;31463
